step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
95,3e-06,1e-05,1e-05,8.068813374712689e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
96,3e-06,1e-05,0,8.025871075968828e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
97,3e-06,1e-05,1e-05,7.982573677838172e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
98,3e-06,1e-05,0,7.938926261462366e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
99,3e-06,1e-05,1e-05,7.894933949059245e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
100,3e-06,1e-05,0,7.850601903321717e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
101,3e-06,1e-05,1e-05,7.805935326811913e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
102,3e-06,1e-05,0,7.760939461350622e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
103,3e-06,1e-05,1e-05,7.715619587402165e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
104,3e-06,1e-05,0,7.669981023454682e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
105,3e-06,1e-05,1e-05,7.624029125396004e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
106,3e-06,1e-05,0,7.57776928588511e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
107,3e-06,1e-05,1e-05,7.5312069337192695e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
108,3e-06,1e-05,0,7.4843475331969614e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
109,3e-06,1e-05,1e-05,7.437196583476596e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
110,3e-06,1e-05,0,7.389759617931183e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
111,3e-06,1e-05,1e-05,7.342042203498952e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
112,3e-06,1e-05,0,7.294049940030055e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
113,3e-06,1e-05,1e-05,7.245788459629396e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
114,3e-06,1e-05,0,7.197263425995682e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
115,3e-06,1e-05,1e-05,7.1484805337567586e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
