step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
81,9.737637512478427e-07,9.622537421910112e-07,1.0909453982411384e-06,1.0128533319007131e-06,9.779502495624812e-07,9.7882979802842e-07
82,9.684926027986769e-07,9.618207761339473e-07,1.095019823817674e-06,1.0121662236968343e-06,9.755104120417376e-07,9.800442029712605e-07
83,9.71478468371715e-07,9.63602589544769e-07,1.0942702113443349e-06,1.011686939340162e-06,9.754411454734409e-07,9.829315419032735e-07
84,9.739710983301765e-07,9.602188600172578e-07,1.0940769515437545e-06,1.0134439748367942e-06,9.717833398715486e-07,9.831921115291436e-07
85,9.717831580747454e-07,9.599122529123298e-07,1.0896284616918505e-06,1.0135172487690013e-06,9.71025347715952e-07,9.800454017286298e-07
86,9.730767612862954e-07,9.56538462550099e-07,1.0903690887992572e-06,1.0138708948568348e-06,9.706499475549712e-07,9.807107897701423e-07
87,9.69341782394276e-07,9.540502296293113e-07,1.0874552212512648e-06,1.0150601225090907e-06,9.675239441154528e-07,9.804849497489136e-07
88,9.712130243305543e-07,9.545302450458616e-07,1.0878484190580376e-06,1.0144479388122127e-06,9.704579182525171e-07,9.82493328493331e-07
89,9.701038323610209e-07,9.536459038391896e-07,1.0863844063352923e-06,1.0114242730400266e-06,9.707201565810349e-07,9.817116712914337e-07
90,9.69607306304654e-07,9.500617522374735e-07,1.0859016404942444e-06,1.0105475518085676e-06,9.69268560444709e-07,9.803274224958818e-07
91,9.710489502216785e-07,9.466958408744633e-07,1.0882546252951665e-06,1.0110045617902558e-06,9.67428786193685e-07,9.787868070368861e-07
92,9.738645045247948e-07,9.470623728441932e-07,1.0827624692283668e-06,1.0077048985997822e-06,9.688390104789823e-07,9.742030766394689e-07
93,9.7536429861571e-07,9.457062870525e-07,1.0843981833889446e-06,1.0037479351950073e-06,9.67199287591089e-07,9.750336865845425e-07
94,9.775270455094091e-07,9.472080343382599e-07,1.0777929746994891e-06,1.0035624276998527e-06,9.67825902884166e-07,9.74221211516742e-07
95,9.743956247359854e-07,9.492364739721188e-07,1.0815071906104056e-06,9.997270724183526e-07,9.667501921678965e-07,9.796379474384764e-07
96,9.729005610225665e-07,9.502559488719988e-07,1.083533695187405e-06,9.972003808320537e-07,9.623859906176068e-07,9.800449606920335e-07
97,9.712367447784809e-07,9.5185684178764e-07,1.08467320896051e-06,9.951823812739806e-07,9.663942990171153e-07,9.787896598265669e-07
98,9.71331698599981e-07,9.532854004465431e-07,1.0884640333291148e-06,9.974137483766235e-07,9.720264534529374e-07,9.81382515692423e-07
99,9.703242214573808e-07,9.54896951041789e-07,1.0837375820305818e-06,9.992559748476763e-07,9.74339995531942e-07,9.826133085312859e-07
100,9.681024480201074e-07,9.530804659377432e-07,1.0832754883558988e-06,9.982938793773415e-07,9.72558001447041e-07,9.814637681105786e-07
