step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
69,9.269914698961657e-06,1.4440519407799002e-05,8.766968676354736e-06,1.1514056495798286e-05,1.4269317034631968e-05,1.0903708243859e-05,1.1442166396591348e-05,1.385672567266738e-05,9.11992356122937e-06
70,9.274488547816873e-06,1.4190412002790254e-05,8.725843144929968e-06,1.1506298505992165e-05,1.4246395949157886e-05,1.0950058822345454e-05,1.141047596320277e-05,1.374738712911494e-05,9.190405762637964e-06
71,9.36173091758974e-06,7.180051397881471e-06,8.872521902958397e-06,1.1472002370283008e-05,7.08875950294896e-06,1.0960873623844236e-05,1.1302411621727517e-05,1.3657010640599763e-05,9.46221098274691e-06
72,1.011171752907103e-05,1.4310278857010417e-05,9.178940672427416e-06,1.1504958820296451e-05,1.4078140338824596e-05,1.1003008694387972e-05,1.120709566748701e-05,6.79247659718385e-06,9.487719580647536e-06
73,9.974761269404551e-06,7.230803930724505e-06,8.706052540219389e-06,1.141300981544191e-05,7.034453574306099e-06,1.093995615519816e-05,1.1272808478679508e-05,1.3753113307757305e-05,1.197469282487873e-05
74,1.03425481938757e-05,7.128332526917802e-06,8.746310413698666e-06,1.126621737057576e-05,1.4191818081599196e-05,1.09789116322645e-05,1.1176589396200144e-05,1.3630371540784836e-05,1.175673332909355e-05
75,1.120499200624181e-05,1.424437687091995e-05,8.790406354819424e-06,1.1327956599416211e-05,1.4215411283657886e-05,1.1029296729248015e-05,1.1205988812434953e-05,1.3811629287374672e-05,1.227164193551289e-05
76,1.270868961000815e-05,1.4261046089814045e-05,8.863265065883752e-06,1.1199271284567658e-05,7.069704224704765e-06,1.0968977221637031e-05,1.1320446901663672e-05,1.3971074622531889e-05,1.24032294479548e-05
77,1.369936580886133e-05,7.1017598202161025e-06,8.88005433807848e-06,1.1220755368412938e-05,1.3819550076732412e-05,1.090135810954962e-05,1.123458150686929e-05,6.927187314431649e-06,1.2295534361328464e-05
78,1.4252826986194124e-05,1.3971362022857647e-05,8.886089744919445e-06,1.126970619225176e-05,6.913584456924582e-06,1.0967676644213498e-05,1.1016718417522496e-05,6.866044259368209e-06,1.4380061656993348e-05
