step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/lr_step
48,5.4963991925585115e-06,3.7099999999999996e-06,3.481370382752314e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
49,4.635936061498503e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
50,5.066167627028507e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
51,2.5042825155021555e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.52350835016901e-06
52,3.7852250712653307e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.762169819068702e-06
53,4.1731520859364735e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,3.267148918380452e-06
54,4.1731520859364735e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
55,4.746475234194945e-06,1.8549999999999998e-06,2.7262677495849168e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
56,2.4999999999999998e-06,1.8549999999999998e-06,2.7262677495849168e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
57,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
58,2.4999999999999998e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
59,2.4999999999999998e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
60,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
61,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.586635520745725e-06
62,2.632690551772295e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.586635520745725e-06
63,2.632690551772295e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.594612549042153e-06
64,2.632690551772295e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.594612549042153e-06
65,2.632690551772295e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
66,2.632690551772295e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
67,3.029784864970823e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
68,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
69,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
70,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
71,2.4999999999999998e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.56293958506886e-06
72,2.677775446201783e-06,3.7099999999999996e-06,2.6164993246915566e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.56293958506886e-06
73,2.677775446201783e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.1980593210072875e-06
74,2.7564159706802887e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.1980593210072875e-06
75,3.0340327120988565e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.334431631224806e-06
76,3.45582667845613e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.334431631224806e-06
77,3.764853631723473e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,3.334431631224806e-06
78,3.873267423633307e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,3.890225110244562e-06
79,3.942382339896045e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
80,4.74819745023546e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
81,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
82,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
83,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
84,2.4999999999999998e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
85,2.7204937490929006e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
86,2.4999999999999998e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.194379291910273e-06
87,3.503227527726273e-06,3.7099999999999996e-06,2.6089593162014187e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.37565715842438e-06
88,3.503227527726273e-06,1.8549999999999998e-06,2.6089593162014187e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,4.0820272625074355e-06
89,3.938147796184984e-06,3.7099999999999996e-06,3.7577359947580686e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.0820272625074355e-06
90,3.938147796184984e-06,3.7099999999999996e-06,3.7577359947580686e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.52282307526369e-06
91,3.4817482924481223e-06,3.7099999999999996e-06,3.7577359947580686e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.5949522680934063e-06
92,2.6609594058067e-06,1.8549999999999998e-06,3.7577359947580686e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.591396656349539e-06
93,3.7404601908545235e-06,3.7099999999999996e-06,3.7577359947580686e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,3.716112899193441e-06
94,2.4999999999999998e-06,3.7099999999999996e-06,4.043815833308069e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
95,2.873277275388496e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
96,3.046293324729636e-06,1.8549999999999998e-06,3.11378944012433e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
97,3.046293324729636e-06,3.7099999999999996e-06,3.0215636423520193e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,,3.716112899193441e-06
98,3.6131425187129557e-06,1.8549999999999998e-06,3.0676765412381753e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,3.716112899193441e-06
99,3.6131425187129557e-06,1.8549999999999998e-06,3.0676765412381753e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.6533249319439995e-06
100,3.6131425187129557e-06,1.8549999999999998e-06,3.0676765412381753e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
101,4.1637916495686974e-06,3.7099999999999996e-06,3.2685428230346967e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
102,4.1637916495686974e-06,3.7099999999999996e-06,3.725310648575467e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
103,2.781614140171878e-06,1.8549999999999998e-06,3.725310648575467e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
104,3.4727028948702877e-06,3.7099999999999996e-06,3.527585661771957e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
105,3.4727028948702877e-06,1.8549999999999998e-06,4.4084491398906065e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
106,3.4727028948702877e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
107,3.568403842021919e-06,3.7099999999999996e-06,3.174734693398752e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
108,3.797216473091068e-06,1.8549999999999998e-06,3.174734693398752e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.403387487558151e-06
109,4.479642546555983e-06,1.8549999999999998e-06,3.174734693398752e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.076699712114059e-06
110,4.990675142698495e-06,1.8549999999999998e-06,3.2648438772824176e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.069409610252114e-06
