step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
100,9.882529706814069e-07,9.75832046111224e-07,9.75237724296858e-07,9.84604392386252e-07,9.947934411837558e-07,9.722084647271505e-07,9.862018519326858e-07,9.79193008394815e-07,9.53834513619106e-07
101,9.880650719785542e-07,9.746906621071842e-07,9.769306783977144e-07,9.825534358687395e-07,9.94326173734837e-07,9.741934590567567e-07,9.841692771111842e-07,9.777611965796442e-07,9.504168127039223e-07
102,9.837315895955158e-07,9.786172999334324e-07,9.787092571523336e-07,9.802933713458122e-07,9.90653081854732e-07,9.721551466918878e-07,9.837911494141838e-07,9.792154629004486e-07,9.475136855119132e-07
103,9.80962168394082e-07,9.76869029526044e-07,9.782871944600735e-07,9.818013909439043e-07,9.900155687580231e-07,9.702916947627686e-07,9.821652910479868e-07,9.774335158869609e-07,9.466579367498088e-07
104,9.783790746667305e-07,9.754071510709824e-07,9.77444072011969e-07,9.824736380576812e-07,9.861285563455359e-07,9.67768021938813e-07,9.820845351375205e-07,9.8222303863836e-07,9.464262540495865e-07
105,9.78971510367842e-07,9.741752545633512e-07,9.802422719995477e-07,9.829859252717333e-07,9.85067790360285e-07,9.686468303424965e-07,9.838055505506682e-07,9.869063557462493e-07,9.473004049417607e-07
106,9.759304567652396e-07,9.75116691545781e-07,9.792232664949974e-07,9.814328846672656e-07,9.86389570852523e-07,9.640257458961796e-07,9.847791261395414e-07,9.85979417815328e-07,9.424802164933831e-07
107,9.776304021095412e-07,9.727091172585297e-07,9.822028550608519e-07,9.764189353537706e-07,9.861614574528548e-07,9.667382672749331e-07,9.825827339742989e-07,9.832718717341572e-07,9.385609062501188e-07
108,9.749082059190333e-07,9.70195098084196e-07,9.804493955294569e-07,9.746481538508152e-07,9.823664921045411e-07,9.649996003197542e-07,9.789086400553003e-07,9.811510470021055e-07,9.348444657564911e-07
109,9.719202053649633e-07,9.671250355501414e-07,9.766289471635057e-07,9.726318060350991e-07,9.827643249667963e-07,9.64467823746839e-07,9.786414716898463e-07,9.790274998260689e-07,9.317519357033637e-07
110,9.707702938605355e-07,9.658002929634834e-07,9.762158167006509e-07,9.75014625752242e-07,9.811702923535503e-07,9.643970258335585e-07,9.742631014312755e-07,9.743115900627281e-07,9.291152975588595e-07
111,9.698640468540858e-07,9.663205006371198e-07,9.756217216438604e-07,9.77474793617723e-07,9.794428847728092e-07,9.645110399495489e-07,9.705956521140845e-07,9.74262208727024e-07,9.303005191622071e-07
112,9.6833529805492e-07,9.66944112653241e-07,9.73789327799469e-07,9.771396109517265e-07,9.811524054108106e-07,9.62628675793621e-07,9.709040854144496e-07,9.721506926875172e-07,9.262386401933284e-07
113,9.69904729214437e-07,9.666961986690395e-07,9.730354712300688e-07,9.769149480279823e-07,9.79629972807513e-07,9.59805981004288e-07,9.71559808012321e-07,9.728081804969412e-07,9.254863458870495e-07
114,9.674313072467257e-07,9.65073816895579e-07,9.754204585984236e-07,9.750109769102193e-07,9.771451890370611e-07,9.580436835159294e-07,9.70309646816491e-07,9.730255756502386e-07,9.233347580841247e-07
115,9.658652509912876e-07,9.650017424737644e-07,9.774407670989008e-07,9.781233730384282e-07,9.763727441158183e-07,9.590277988296689e-07,9.670625516472683e-07,9.726190977884633e-07,9.187107732669678e-07
116,9.65388790176936e-07,9.629373571873834e-07,9.77891144587134e-07,9.763286707297272e-07,9.742097818183083e-07,9.558514157130487e-07,9.614441740659777e-07,9.653433424591325e-07,9.150736672340945e-07
117,9.63982450103721e-07,9.60676249503881e-07,9.782998659477435e-07,9.779234645772214e-07,9.72027970221967e-07,9.525055681743283e-07,9.61928199208729e-07,9.620926113103396e-07,9.137121661604975e-07
