step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
56,1.0312034584052329e-06,9.858868686281928e-07,9.64672096349049e-07,9.87177925751948e-07,9.84315829519371e-07,9.13759797463836e-07,1.040109441084345e-06,1.000713105835846e-06,9.334637124456368e-07
57,1.0407222679741356e-06,9.575820514017333e-07,9.858538232640242e-07,1.0375255085428874e-06,9.843222957243471e-07,9.190703828576943e-07,1.0863735140961003e-06,1.0364247947130585e-06,1.0239862017514295e-06
58,1.026032950469134e-06,9.906397769866428e-07,9.566350380624805e-07,1.0705362159073778e-06,1.034234872066233e-06,1.025488163604434e-06,9.917577961543675e-07,9.55445967747165e-07,9.534268232153888e-07
59,1.0060191593887135e-06,1.03172224894482e-06,9.3040996669412e-07,1.06729933207095e-06,1.1088307419658728e-06,9.563363075662046e-07,1.0162106023738933e-06,9.797000214404026e-07,9.406327717779411e-07
60,9.742014984826348e-07,1.0143443103883985e-06,9.611559825909848e-07,1.0378563160409091e-06,1.0195082340905325e-06,9.900970336450507e-07,9.285052191875251e-07,9.469742462877791e-07,9.015666144054362e-07
61,1.066520268701345e-06,1.017587832050215e-06,9.808460683011122e-07,1.0000872313112212e-06,9.664610264776394e-07,9.520111641210503e-07,1.0079639831722336e-06,9.528839681143195e-07,9.57205877753518e-07
62,1.0345111210909275e-06,1.0396404731412113e-06,1.0089320797198804e-06,9.770042885365626e-07,1.1347578953799025e-06,1.0275795846533544e-06,1.0243230187399971e-06,9.710079677208751e-07,1.0222846648152648e-06
63,9.882249677657766e-07,1.0133013308257983e-06,9.67780862825185e-07,1.0443423419883789e-06,1.0487352466153931e-06,1.0515478536526379e-06,9.89438020205006e-07,9.584180392274376e-07,9.953808925260868e-07
64,9.730698345909415e-07,1.0026045401269369e-06,1.0243430084841651e-06,9.425687961965907e-07,9.75230605835236e-07,8.899159457193813e-07,9.441732083425904e-07,9.59008366327928e-07,8.786496163251859e-07
65,9.814132179611787e-07,1.0244948444272496e-06,9.657994655300849e-07,1.0394044556252311e-06,1.000793958197073e-06,9.43057131252308e-07,1.0178109670513148e-06,9.427669880439424e-07,1.0055504838389673e-06
66,9.807590426695269e-07,9.388469975317484e-07,9.756849117638533e-07,9.527053180656208e-07,9.62866230406318e-07,9.611957331989228e-07,1.0282757597719793e-06,9.347118341557296e-07,9.080606933829375e-07
